id,violation_id,type,url
,1,photo,https://dummyimage.com/983x136
,1,video,https://placekitten.com/381/244
,1,video,https://placekitten.com/26/244
,1,video,https://picsum.photos/841/538
,1,photo,https://placekitten.com/812/448
,1,video,https://placekitten.com/593/213
,1,photo,https://placekitten.com/322/284
,2,photo,https://picsum.photos/26/901
,2,video,https://dummyimage.com/409x743
,3,video,https://placekitten.com/543/408
,3,photo,https://placekitten.com/63/277
,3,photo,https://dummyimage.com/216x514
,3,photo,https://placekitten.com/667/107
,3,video,https://placekitten.com/759/17
,3,video,https://dummyimage.com/855x58
,4,video,https://placekitten.com/32/81
,4,photo,https://picsum.photos/291/289
,4,photo,https://dummyimage.com/503x316
,4,video,https://placekitten.com/439/923
,4,video,https://placekitten.com/24/942
,4,photo,https://placekitten.com/657/215
,5,photo,https://picsum.photos/516/998
,6,video,https://placekitten.com/211/122
,6,video,https://dummyimage.com/581x58
,6,photo,https://dummyimage.com/186x54
,7,photo,https://picsum.photos/177/363
,8,video,https://picsum.photos/908/775
,8,photo,https://placekitten.com/471/335
,8,photo,https://placekitten.com/348/461
,8,video,https://picsum.photos/818/122
,8,photo,https://placekitten.com/936/247
,9,photo,https://picsum.photos/13/337
,9,photo,https://placekitten.com/244/349
,9,video,https://placekitten.com/860/274
,9,photo,https://placekitten.com/386/250
,10,photo,https://dummyimage.com/214x500
,10,video,https://placekitten.com/466/732
,10,video,https://dummyimage.com/149x948
,11,video,https://dummyimage.com/859x396
,11,video,https://placekitten.com/280/159
,11,video,https://dummyimage.com/574x625
,11,video,https://picsum.photos/1000/731
,11,photo,https://dummyimage.com/810x472
,11,video,https://picsum.photos/778/941
,11,photo,https://dummyimage.com/848x672
,11,video,https://placekitten.com/696/107
,12,video,https://dummyimage.com/737x1000
,12,photo,https://picsum.photos/909/392
,13,video,https://placekitten.com/809/801
,13,photo,https://picsum.photos/626/273
,13,video,https://placekitten.com/40/279
,13,photo,https://placekitten.com/407/544
,14,photo,https://dummyimage.com/889x275
,14,photo,https://picsum.photos/479/84
,14,photo,https://dummyimage.com/114x753
,14,photo,https://picsum.photos/15/898
,15,video,https://picsum.photos/651/812
,15,video,https://placekitten.com/322/241
,15,video,https://dummyimage.com/291x894
,15,photo,https://placekitten.com/416/557
,15,video,https://picsum.photos/938/1017
,16,video,https://dummyimage.com/623x611
,16,video,https://placekitten.com/968/277
,16,video,https://placekitten.com/445/616
,16,photo,https://dummyimage.com/950x878
,16,video,https://picsum.photos/773/88
,17,video,https://dummyimage.com/803x124
,17,video,https://placekitten.com/805/122
,17,video,https://dummyimage.com/970x333
,17,video,https://picsum.photos/706/1012
,18,photo,https://picsum.photos/209/706
,18,photo,https://picsum.photos/723/160
,18,photo,https://dummyimage.com/882x336
,18,video,https://picsum.photos/807/451
,18,photo,https://picsum.photos/403/684
,18,video,https://dummyimage.com/835x462
,18,video,https://placekitten.com/38/214
,19,photo,https://placekitten.com/985/543
,19,video,https://dummyimage.com/375x744
,19,photo,https://placekitten.com/928/770
,20,video,https://picsum.photos/673/871
,21,photo,https://dummyimage.com/247x8
,21,video,https://picsum.photos/8/623
,21,photo,https://placekitten.com/703/295
,21,video,https://dummyimage.com/566x150
,21,video,https://dummyimage.com/785x374
,21,photo,https://picsum.photos/739/439
,22,photo,https://dummyimage.com/264x566
,22,photo,https://picsum.photos/66/519
,23,video,https://dummyimage.com/292x285
,23,photo,https://dummyimage.com/990x662
,24,photo,https://placekitten.com/741/44
,25,photo,https://placekitten.com/141/557
,25,video,https://picsum.photos/26/430
,25,video,https://placekitten.com/770/602
,25,video,https://dummyimage.com/751x689
,25,video,https://picsum.photos/137/562
,25,video,https://dummyimage.com/978x154
,26,photo,https://placekitten.com/591/971
,26,photo,https://picsum.photos/707/109
,26,photo,https://placekitten.com/271/32
,26,photo,https://dummyimage.com/8x830
,27,photo,https://placekitten.com/876/843
,27,video,https://placekitten.com/400/127
,27,video,https://placekitten.com/853/1008
,28,video,https://picsum.photos/665/112
,28,video,https://picsum.photos/59/850
,28,video,https://placekitten.com/1021/547
,29,photo,https://dummyimage.com/396x173
,29,video,https://dummyimage.com/469x343
,30,video,https://dummyimage.com/12x519
,30,photo,https://dummyimage.com/985x199
,31,photo,https://picsum.photos/17/478
,31,video,https://picsum.photos/815/390
,31,photo,https://picsum.photos/538/382
,32,photo,https://dummyimage.com/1010x517
,32,photo,https://dummyimage.com/558x52
,32,photo,https://placekitten.com/48/95
,32,video,https://placekitten.com/576/413
,33,photo,https://picsum.photos/767/198
,33,video,https://dummyimage.com/709x725
,33,photo,https://placekitten.com/563/263
,34,photo,https://picsum.photos/610/261
,34,video,https://placekitten.com/819/489
,35,video,https://dummyimage.com/1023x726
,35,video,https://dummyimage.com/392x954
,35,photo,https://dummyimage.com/680x592
,35,photo,https://dummyimage.com/65x67
,35,photo,https://picsum.photos/587/817
,35,video,https://dummyimage.com/557x853
,35,photo,https://picsum.photos/608/81
,36,video,https://picsum.photos/135/710
,36,photo,https://placekitten.com/544/533
,36,video,https://picsum.photos/649/50
,36,photo,https://dummyimage.com/208x365
,36,video,https://placekitten.com/566/209
,37,video,https://placekitten.com/80/539
,37,video,https://dummyimage.com/69x255
,37,photo,https://placekitten.com/553/380
,37,photo,https://dummyimage.com/910x425
,37,video,https://picsum.photos/413/91
,37,video,https://picsum.photos/886/977
,38,photo,https://placekitten.com/224/902
,38,video,https://dummyimage.com/1020x859
,39,photo,https://picsum.photos/663/39
,39,video,https://dummyimage.com/236x416
,41,photo,https://placekitten.com/267/196
,41,video,https://picsum.photos/72/433
,41,photo,https://placekitten.com/7/496
,41,photo,https://dummyimage.com/152x410
,41,video,https://dummyimage.com/957x6
,41,photo,https://dummyimage.com/1002x405
,42,photo,https://dummyimage.com/70x471
,42,photo,https://dummyimage.com/152x260
,42,photo,https://picsum.photos/271/885
,42,video,https://placekitten.com/811/67
,42,video,https://placekitten.com/831/72
,42,video,https://dummyimage.com/642x406
,42,video,https://picsum.photos/750/9
,42,video,https://picsum.photos/589/402
,42,photo,https://placekitten.com/633/396
,42,photo,https://picsum.photos/709/689
,43,photo,https://placekitten.com/159/404
,43,video,https://placekitten.com/203/257
,44,video,https://placekitten.com/735/891
,44,photo,https://dummyimage.com/767x179
,44,video,https://dummyimage.com/382x287
,44,video,https://placekitten.com/464/267
,44,photo,https://placekitten.com/859/184
,44,video,https://placekitten.com/785/854
